file,channel,AUC,Resilience_Index,Transitions
sub-VP01_task-pain_nirs.snirf,S1_D1 760,-0.14825967173799767,58.49794238683128,242.0
sub-VP01_task-pain_nirs.snirf,S1_D2 760,-0.07956116226663032,582.8387096774194,30.0
sub-VP01_task-pain_nirs.snirf,S1_D12 760,0.0063757247038114945,956.9473684210526,18.0
sub-VP01_task-pain_nirs.snirf,S2_D1 760,-0.03843571342203929,61.25560538116592,222.0
sub-VP01_task-pain_nirs.snirf,S2_D3 760,-0.0036761056031448247,99.07741935483871,154.0
sub-VP01_task-pain_nirs.snirf,S3_D1 760,0.0025407012037095555,4581.25,3.0
sub-VP01_task-pain_nirs.snirf,S3_D3 760,-0.3037257899512042,52.17277486910995,190.0
sub-VP01_task-pain_nirs.snirf,S3_D4 760,0.0005482414257485567,9201.5,1.0
sub-VP01_task-pain_nirs.snirf,S3_D16 760,-0.04731882561599356,697.7692307692307,25.0
sub-VP01_task-pain_nirs.snirf,S4_D2 760,-0.11696279815430713,142.3613445378151,118.0
sub-VP01_task-pain_nirs.snirf,S4_D4 760,0.0030292004976040223,4591.25,3.0
sub-VP01_task-pain_nirs.snirf,S4_D5 760,-0.05535558493304965,129.36220472440945,126.0
sub-VP01_task-pain_nirs.snirf,S4_D14 760,-0.026797740869760223,4574.25,3.0
sub-VP01_task-pain_nirs.snirf,S4_D17 760,-0.035202600211313065,132.57142857142858,125.0
sub-VP01_task-pain_nirs.snirf,S5_D4 760,-0.00648062943162011,4587.5,3.0
sub-VP01_task-pain_nirs.snirf,S5_D6 760,-0.03871912950284612,37.60444444444445,224.0
sub-VP01_task-pain_nirs.snirf,S5_D7 760,-0.0015588719736225843,9201.5,1.0
sub-VP01_task-pain_nirs.snirf,S5_D18 760,-0.07831160478716032,175.3877551020408,97.0
sub-VP01_task-pain_nirs.snirf,S6_D5 760,-0.03650117123952507,2290.625,7.0
sub-VP01_task-pain_nirs.snirf,S6_D7 760,-0.09621670999864133,98.2638036809816,162.0
sub-VP01_task-pain_nirs.snirf,S6_D8 760,-0.012336962952490852,4598.25,3.0
sub-VP01_task-pain_nirs.snirf,S7_D6 760,-0.24244514304112338,46.041811846689896,286.0
sub-VP01_task-pain_nirs.snirf,S7_D7 760,0.03112117849517118,44.726907630522085,248.0
sub-VP01_task-pain_nirs.snirf,S8_D7 760,-0.02098800675451673,112.36054421768708,146.0
sub-VP01_task-pain_nirs.snirf,S8_D8 760,-0.026474828455469883,4577.25,3.0
sub-VP01_task-pain_nirs.snirf,S9_D8 760,0.011555879396861382,277.109375,63.0
sub-VP01_task-pain_nirs.snirf,S9_D9 760,-0.0013431896378451394,4586.5,3.0
sub-VP01_task-pain_nirs.snirf,S9_D10 760,-0.020230664932890174,3052.8333333333335,5.0
sub-VP01_task-pain_nirs.snirf,S9_D19 760,-0.03794263277950327,80.06806282722513,190.0
sub-VP01_task-pain_nirs.snirf,S10_D5 760,-0.005171716864540574,1012.4444444444445,17.0
sub-VP01_task-pain_nirs.snirf,S10_D8 760,0.005533511151072541,1138.9375,15.0
sub-VP01_task-pain_nirs.snirf,S10_D10 760,0.024174560002320995,1827.2,9.0
sub-VP01_task-pain_nirs.snirf,S10_D14 760,0.03840684922947678,756.9166666666666,23.0
sub-VP01_task-pain_nirs.snirf,S10_D20 760,0.04853392898568798,81.67724867724868,188.0
sub-VP01_task-pain_nirs.snirf,S11_D9 760,0.0035810708058406637,449.475,39.0
sub-VP01_task-pain_nirs.snirf,S11_D10 760,-0.03511356559695032,208.1904761904762,83.0
sub-VP01_task-pain_nirs.snirf,S11_D15 760,-0.07002666694307447,101.36942675159236,156.0
sub-VP01_task-pain_nirs.snirf,S12_D2 760,-0.13194143715366002,3649.0,4.0
sub-VP01_task-pain_nirs.snirf,S12_D11 760,0.00993429011113222,4580.75,3.0
sub-VP01_task-pain_nirs.snirf,S12_D12 760,0.023335624195199835,2289.0,7.0
sub-VP01_task-pain_nirs.snirf,S12_D14 760,-0.018401299950661754,1524.25,11.0
sub-VP01_task-pain_nirs.snirf,S12_D21 760,0.3607248824165661,42.99261992619926,270.0
sub-VP01_task-pain_nirs.snirf,S13_D11 760,0.044328736377947084,128.2248062015504,128.0
sub-VP01_task-pain_nirs.snirf,S13_D13 760,-0.021796131774915406,1830.9,9.0
sub-VP01_task-pain_nirs.snirf,S13_D15 760,-0.04686091201377634,288.9016393442623,60.0
sub-VP01_task-pain_nirs.snirf,S14_D11 760,0.006692740127691426,4586.5,3.0
sub-VP01_task-pain_nirs.snirf,S14_D12 760,0.017507899280363816,1526.5,11.0
sub-VP01_task-pain_nirs.snirf,S14_D13 760,0.035376240463385444,4591.25,3.0
sub-VP01_task-pain_nirs.snirf,S14_D22 760,0.3099718326702755,103.61437908496733,152.0
sub-VP01_task-pain_nirs.snirf,S15_D1 760,0.06543827113369025,105.33333333333333,152.0
sub-VP01_task-pain_nirs.snirf,S15_D12 760,0.04904580066906406,413.16279069767444,42.0
sub-VP01_task-pain_nirs.snirf,S16_D10 760,0.00810084529225304,500.47222222222223,35.0
sub-VP01_task-pain_nirs.snirf,S16_D11 760,0.05812007588753508,172.93939393939394,98.0
sub-VP01_task-pain_nirs.snirf,S16_D14 760,0.016277887609083667,4583.0,3.0
sub-VP01_task-pain_nirs.snirf,S16_D15 760,-0.010655981524094242,783.0,22.0
sub-VP01_task-pain_nirs.snirf,S16_D23 760,-0.17189549133648208,62.6,224.0
sub-VP01_task-pain_nirs.snirf,S1_D1 850,-0.20560225002877897,60.43514644351465,238.0
sub-VP01_task-pain_nirs.snirf,S1_D2 850,-0.14115856750989764,397.8,44.0
sub-VP01_task-pain_nirs.snirf,S1_D12 850,-0.027570150475100072,380.74468085106383,46.0
sub-VP01_task-pain_nirs.snirf,S2_D1 850,-0.10029469046767567,64.58222222222223,224.0
sub-VP01_task-pain_nirs.snirf,S2_D3 850,-0.04757048002762846,102.05882352941177,152.0
sub-VP01_task-pain_nirs.snirf,S3_D1 850,-0.001720704021511369,4580.75,3.0
