file,channel,AUC,Resilience_Index,Transitions,Disclaimer
sub-Vp13_task-pain_nirs.snirf - S16_D23 850,CH1,0.0023,0.215,12,Metriche fornite come valori standardizzati per benchmarking; interpretazione fisiologica in corso di validazione.
sub-Vp13_task-pain_nirs.snirf - S16_D23 850,CH2,0.0019,0.198,15,Metriche fornite come valori standardizzati per benchmarking; interpretazione fisiologica in corso di validazione.
